Timestamp	R_0	C_0
0.0	8.99745e+04	1.08523e-10
0.031915	8.99745e+04	1.08523e-10
0.080814	8.99745e+04	1.08523e-10
0.112698	8.99745e+04	1.08523e-10
0.160569	8.99745e+04	1.08523e-10
0.192486	9.00558e+04	1.08548e-10
0.240356	9.00311e+04	1.08503e-10
0.288228	8.99992e+04	1.08567e-10
0.320143	8.99745e+04	1.08523e-10
0.368016	8.99992e+04	1.08567e-10
0.39993	8.99992e+04	1.08567e-10
0.447804	8.99745e+04	1.08523e-10
0.479719	8.99745e+04	1.08523e-10
0.528588	8.99745e+04	1.08523e-10
0.57646	8.99992e+04	1.08567e-10
0.608375	8.99745e+04	1.08523e-10
0.656247	8.99992e+04	1.08567e-10
0.688162	8.99992e+04	1.08567e-10
0.736034	8.99745e+04	1.08523e-10
0.767949	8.99745e+04	1.08523e-10
0.815822	8.99992e+04	1.08567e-10
0.863693	8.99992e+04	1.08567e-10
0.896605	8.99745e+04	1.08523e-10
0.944478	8.99992e+04	1.08567e-10
0.976393	8.99992e+04	1.08567e-10
1.024267	8.99992e+04	1.08567e-10
1.151925	8.99992e+04	1.08567e-10
1.151925	9.00558e+04	1.08548e-10
1.151925	8.99992e+04	1.08567e-10
1.18384	8.99992e+04	1.08567e-10
1.231722	8.99992e+04	1.08567e-10
1.275594	8.99745e+04	1.08523e-10
1.332443	8.99745e+04	1.08523e-10
1.344411	8.99745e+04	1.08523e-10
1.409239	8.99992e+04	1.08567e-10
1.441153	8.99992e+04	1.08567e-10
1.479053	8.99992e+04	1.08567e-10
1.538892	8.99992e+04	1.08567e-10
1.557843	8.99992e+04	1.08567e-10
1.617681	8.99745e+04	1.08523e-10
1.632642	8.99745e+04	1.08523e-10
1.680513	8.99745e+04	1.08523e-10
1.728385	8.99745e+04	1.08523e-10
1.780248	8.99992e+04	1.08567e-10
1.814157	8.99992e+04	1.08567e-10
1.840088	8.99745e+04	1.08523e-10
1.88796	8.99992e+04	1.08567e-10
1.929848	8.99992e+04	1.08567e-10
1.973731	8.99992e+04	1.08567e-10
2.029583	8.99745e+04	1.08523e-10
2.048532	8.99992e+04	1.08567e-10
2.096405	8.99992e+04	1.08567e-10
2.128319	8.99992e+04	1.08567e-10
2.203118	8.99992e+04	1.08567e-10
2.218079	8.99745e+04	1.08523e-10
2.255978	8.99992e+04	1.08567e-10
2.30385	8.99992e+04	1.08567e-10
2.339755	9.00558e+04	1.08548e-10
2.383637	8.99992e+04	1.08567e-10
2.419544	8.99992e+04	1.08567e-10
2.484368	8.99992e+04	1.08567e-10
2.504314	8.99992e+04	1.08567e-10
2.545207	8.99992e+04	1.08567e-10
2.576124	8.99992e+04	1.08567e-10
2.624993	8.99992e+04	1.08567e-10
2.682838	8.99745e+04	1.08523e-10
2.720737	8.99992e+04	1.08567e-10
2.751653	8.99745e+04	1.08523e-10
2.786563	8.99992e+04	1.08567e-10
2.845404	8.99992e+04	1.08567e-10
2.873331	8.99745e+04	1.08523e-10
2.92519	8.99992e+04	1.08567e-10
2.971067	8.99745e+04	1.08523e-10
2.992012	8.99992e+04	1.08567e-10
3.040882	8.99992e+04	1.08567e-10
3.071799	8.99992e+04	1.08567e-10
3.122664	8.99992e+04	1.08567e-10
3.179512	9.00558e+04	1.08548e-10
3.205442	9.00558e+04	1.08548e-10
3.248328	8.99992e+04	1.08567e-10
3.280242	9.00558e+04	1.08548e-10
3.328114	8.99745e+04	1.08523e-10
3.363021	9.00311e+04	1.08503e-10
3.408899	8.99992e+04	1.08567e-10
3.446798	8.99992e+04	1.08567e-10
3.519603	9.00311e+04	1.08503e-10
3.572462	8.99992e+04	1.08567e-10
3.572462	8.99992e+04	1.08567e-10
3.617345	8.99992e+04	1.08567e-10
3.64826	9.00558e+04	1.08548e-10
3.697129	9.00558e+04	1.08548e-10
3.728048	8.99992e+04	1.08567e-10
3.775918	8.99992e+04	1.08567e-10
3.834762	8.99992e+04	1.08567e-10
3.873658	8.99992e+04	1.08567e-10
3.919535	8.99992e+04	1.08567e-10
3.946463	8.99745e+04	1.08523e-10
3.985359	8.99992e+04	1.08567e-10
4.016276	8.99992e+04	1.08567e-10
4.064149	8.99992e+04	1.08567e-10
4.112022	8.99427e+04	1.08587e-10
4.151914	8.99745e+04	1.08523e-10
4.234693	8.99992e+04	1.08567e-10
4.234693	8.99745e+04	1.08523e-10
4.293537	8.99992e+04	1.08567e-10
4.313484	8.99992e+04	1.08567e-10
4.352378	8.99992e+04	1.08567e-10
4.40025	8.99745e+04	1.08523e-10
4.434161	8.99992e+04	1.08567e-10
4.480038	8.99745e+04	1.08523e-10
4.511952	8.99992e+04	1.08567e-10
4.559825	8.99745e+04	1.08523e-10
4.679505	8.99992e+04	1.08567e-10
4.679505	9.00311e+04	1.08503e-10
4.700449	8.99992e+04	1.08567e-10
4.720396	8.99745e+04	1.08523e-10
4.768268	8.99745e+04	1.08523e-10
4.813148	8.99745e+04	1.08523e-10
4.848055	8.99745e+04	1.08523e-10
4.87997	8.99745e+04	1.08523e-10
4.933826	8.99745e+04	1.08523e-10
5.013613	8.99992e+04	1.08567e-10
5.013613	8.99745e+04	1.08523e-10
5.07844	8.99745e+04	1.08523e-10
5.088413	8.99992e+04	1.08567e-10
5.136287	8.99992e+04	1.08567e-10
5.1682	8.99992e+04	1.08567e-10
5.216072	8.99992e+04	1.08567e-10
5.263944	8.99992e+04	1.08567e-10
5.295859	8.99992e+04	1.08567e-10
5.356697	8.99992e+04	1.08567e-10
5.397589	8.99992e+04	1.08567e-10
5.437481	8.99992e+04	1.08567e-10
5.488346	8.99992e+04	1.08567e-10
5.504303	8.99992e+04	1.08567e-10
5.552177	8.99992e+04	1.08567e-10
5.584089	8.99992e+04	1.08567e-10
5.631961	8.99745e+04	1.08523e-10
5.663877	8.99992e+04	1.08567e-10
5.711748	8.99745e+04	1.08523e-10
5.743663	8.99992e+04	1.08567e-10
5.799516	8.99992e+04	1.08567e-10
5.863345	8.99992e+04	1.08567e-10
5.922188	8.99745e+04	1.08523e-10
5.922188	8.99745e+04	1.08523e-10
5.958091	8.99992e+04	1.08567e-10
5.99998	9.00558e+04	1.08548e-10
6.031895	9.00558e+04	1.08548e-10
6.07977	8.99992e+04	1.08567e-10
6.128637	8.99745e+04	1.08523e-10
6.159554	8.99992e+04	1.08567e-10
6.230364	8.99745e+04	1.08523e-10
6.271255	8.99992e+04	1.08567e-10
6.332092	8.99992e+04	1.08567e-10
6.332092	8.99992e+04	1.08567e-10
6.367997	8.99992e+04	1.08567e-10
6.415868	8.99745e+04	1.08523e-10
6.447783	8.99745e+04	1.08523e-10
6.497649	8.99992e+04	1.08567e-10
6.537544	9.00558e+04	1.08548e-10
