Timestamp	I_0	Q_0
0.0	1134	-1048
0.031949	1134	-1048
0.08399	1134	-1047
0.112957	1133	-1047
0.164967	1134	-1046
0.193472	1133	-1047
0.241952	1133	-1048
0.288964	1134	-1048
0.322959	1134	-1048
0.369944	1133	-1047
0.402941	1133	-1047
0.447958	1133	-1047
0.480932	1134	-1047
0.52895	1134	-1047
0.577931	1134	-1047
0.609932	1133	-1047
0.657946	1133	-1048
0.696931	1133	-1047
0.737934	1134	-1047
0.768907	1134	-1048
0.820892	1134	-1047
0.863932	1134	-1047
0.897931	1134	-1047
0.947882	1134	-1047
0.976858	1133	-1047
1.024302	1133	-1047
1.819127	1133	-1047
1.819127	1133	-1048
1.819127	1135	-1047
1.819127	1134	-1047
1.819127	1133	-1047
1.819127	1133	-1048
1.819127	1133	-1048
1.819127	1133	-1047
1.819127	1133	-1048
1.819127	1133	-1047
1.819127	1134	-1048
1.819127	1133	-1046
1.819127	1134	-1047
1.819127	1133	-1047
1.819127	1133	-1047
1.819127	1132	-1047
1.819127	1133	-1047
1.819127	1133	-1048
1.819127	1133	-1047
1.842064	1134	-1048
1.890934	1134	-1048
1.919856	1134	-1047
1.967841	1133	-1047
2.016318	1134	-1046
2.048232	1134	-1046
2.096105	1134	-1047
2.150959	1133	-1047
2.200941	1133	-1047
2.21694	1133	-1048
2.255942	1133	-1048
2.319856	1133	-1047
2.335961	1133	-1047
2.405948	1133	-1047
2.41592	1133	-1047
2.465657	1134	-1047
2.499984	1134	-1047
2.550406	1133	-1047
2.595285	1132	-1047
2.628199	1133	-1047
2.702001	1133	-1048
2.720979	1133	-1048
2.757003	1134	-1047
2.803497	1134	-1047
2.833999	1135	-1047
2.879982	1134	-1047
2.911956	1133	-1047
2.967001	1133	-1047
3.003475	1133	-1047
3.075993	1133	-1046
3.079982	1132	-1046
3.121969	1132	-1046
3.185967	1133	-1046
3.199966	1133	-1047
3.247957	1133	-1048
3.319977	1133	-1048
3.328953	1133	-1047
3.362375	1133	-1047
3.408257	1133	-1048
3.456125	1134	-1047
3.495021	1133	-1046
3.537038	1134	-1047
3.571459	1134	-1048
3.620354	1134	-1048
3.668202	1133	-1047
3.72574	1134	-1048
3.785119	1134	-1047
3.797222	1133	-1047
3.833127	1134	-1047
3.864121	1134	-1047
3.939185	1134	-1047
3.940182	1134	-1047
3.98713	1133	-1047
4.032622	1134	-1046
4.064537	1133	-1048
4.11241	1134	-1048
4.155296	1133	-1047
4.192197	1133	-1047
4.224189	1134	-1047
4.272157	1134	-1047
4.320175	1133	-1048
4.358235	1133	-1047
4.406268	1133	-1047
4.445203	1133	-1046
4.528216	1134	-1047
4.536196	1133	-1048
4.564227	1134	-1046
4.665214	1133	-1047
4.683209	1133	-1047
4.692186	1133	-1047
4.726211	1134	-1047
4.7682	1133	-1047
4.80018	1133	-1046
4.848205	1134	-1046
4.891241	1134	-1047
4.928195	1133	-1047
4.976173	1133	-1048
5.00816	1133	-1047
