Timestamp	I_0	Q_0
0.0	2038	-4651
0.046871	2037	-4651
0.078785	2038	-4651
0.127655	2037	-4652
0.175528	2038	-4651
0.207447	2037	-4652
0.255316	2038	-4651
0.288229	2037	-4652
0.335108	2037	-4652
0.367027	2037	-4652
0.415889	2037	-4652
0.462795	2037	-4652
0.495678	2038	-4651
0.543548	2037	-4651
0.575463	2038	-4651
0.623336	2037	-4651
0.65525	2038	-4651
0.704123	2038	-4652
0.75101	2038	-4651
0.783921	2038	-4651
0.830783	2038	-4651
0.863696	2038	-4651
0.91157	2037	-4652
0.943485	2038	-4651
0.991355	2037	-4652
1.039228	2037	-4651
1.198804	2037	-4652
1.198804	2038	-4651
1.198804	2037	-4652
1.198804	2037	-4652
1.231719	2037	-4652
1.279589	2038	-4652
1.329457	2038	-4651
1.359377	2038	-4652
1.417224	2038	-4651
1.451134	2038	-4651
1.518963	2037	-4652
1.566826	2038	-4652
1.586796	2038	-4651
1.615694	2037	-4652
1.64761	2038	-4652
1.695481	2037	-4652
1.73039	2037	-4652
1.780258	2037	-4652
1.807184	2037	-4652
1.855058	2037	-4652
1.90293	2037	-4652
1.934844	2038	-4652
1.985709	2037	-4651
2.034579	2038	-4652
2.07547	2037	-4651
2.095419	2038	-4652
2.147279	2038	-4651
2.227067	2038	-4651
2.227067	2038	-4651
2.27095	2038	-4651
2.302864	2038	-4652
2.353729	2038	-4651
2.433517	2038	-4652
2.443491	2037	-4652
2.479394	2038	-4652
2.512307	2037	-4652
2.565167	2038	-4652
2.620021	2037	-4652
2.664901	2037	-4652
2.690832	2037	-4652
2.719757	2038	-4652
2.752667	2037	-4652
2.799543	2038	-4652
2.86437	2038	-4652
2.936179	2038	-4652
2.936179	2038	-4652
2.959118	2038	-4651
3.00699	2038	-4651
3.038909	2038	-4652
3.093759	2038	-4652
3.154598	2037	-4652
3.18352	2037	-4652
3.215435	2037	-4652
3.24735	2037	-4652
3.296221	2037	-4652
3.327138	2037	-4652
3.385982	2038	-4652
3.44682	2037	-4652
3.504665	2038	-4652
3.525611	2038	-4652
3.535583	2038	-4652
3.595424	2038	-4652
3.615384	2038	-4652
3.663243	2038	-4651
3.711118	2038	-4652
3.849752	2038	-4651
3.850745	2038	-4651
3.850745	2038	-4652
3.871689	2038	-4652
3.903605	2037	-4652
3.953472	2037	-4652
4.000347	2037	-4652
4.031263	2037	-4652
4.111053	2037	-4652
4.120027	2037	-4652
4.183858	2038	-4652
4.190839	2037	-4652
4.239709	2038	-4652
4.288579	2038	-4652
4.323487	2038	-4652
4.367372	2038	-4651
4.400282	2038	-4652
4.449151	2038	-4651
4.558859	2038	-4652
4.558859	2038	-4651
4.575815	2038	-4652
4.607729	2038	-4652
4.667571	2037	-4651
4.692504	2038	-4652
4.735389	2038	-4652
4.767304	2037	-4652
4.815177	2038	-4652
4.879008	2037	-4652
4.902944	2038	-4652
4.966775	2038	-4652
4.976747	2038	-4652
5.02462	2037	-4651
5.056535	2038	-4651
5.1074	2038	-4652
5.151282	2038	-4651
5.183197	2038	-4651
5.23107	2038	-4651
5.283929	2038	-4651
5.352748	2037	-4651
5.386656	2038	-4652
5.411591	2038	-4651
5.439515	2037	-4652
5.471429	2038	-4651
5.5203	2037	-4652
5.551217	2038	-4651
5.59909	2037	-4652
5.632003	2037	-4652
5.678878	2037	-4652
5.72675	2038	-4651
5.759663	2038	-4651
5.828481	2037	-4651
5.858401	2038	-4651
5.904278	2038	-4651
5.981074	2038	-4651
5.988055	2038	-4651
6.014984	2038	-4651
6.0469	2038	-4651
6.096766	2038	-4651
6.127683	2038	-4652
6.175556	2038	-4652
6.207471	2037	-4651
6.255344	2037	-4652
6.368044	2038	-4651
6.402952	2037	-4651
6.405944	2037	-4652
6.415916	2038	-4652
6.462791	2037	-4652
6.494707	2038	-4651
6.543576	2038	-4651
6.591448	2038	-4651
6.624361	2038	-4651
6.672233	2038	-4651
6.703152	2038	-4651
6.751023	2038	-4651
6.782939	2038	-4651
6.850759	2038	-4651
6.922568	2038	-4651
6.938525	2038	-4651
6.969443	2038	-4651
6.991384	2038	-4651
7.039256	2037	-4651
7.088127	2037	-4651
7.120041	2038	-4652
7.152955	2037	-4651
7.198831	2038	-4651
7.253686	2038	-4651
7.321507	2038	-4651
7.372369	2038	-4651
7.372369	2038	-4651
7.407277	2038	-4651
7.439193	2038	-4651
7.487064	2038	-4651
7.534936	2038	-4651
7.568846	2038	-4651
7.614725	2038	-4651
7.647637	2038	-4651
7.69551	2038	-4651
7.772305	2038	-4651
7.788263	2037	-4651
7.852094	2038	-4652
7.858079	2037	-4651
7.902957	2038	-4651
7.934874	2038	-4651
7.983743	2037	-4651
8.015658	2038	-4651
8.06353	2037	-4651
8.111404	2038	-4651
8.143317	2037	-4651
8.243052	2038	-4651
8.24405	2038	-4651
8.309876	2038	-4651
8.309876	2038	-4651
8.350767	2037	-4651
8.399636	2038	-4651
8.43155	2037	-4651
8.479422	2037	-4651
8.513333	2038	-4651
8.559212	2038	-4652
8.59312	2037	-4651
8.639996	2038	-4651
8.687868	2037	-4651
8.725768	2038	-4651
8.824504	2037	-4651
8.872378	2038	-4651
8.887336	2038	-4651
8.914265	2038	-4651
8.940196	2038	-4651
8.975105	2038	-4651
9.007019	2038	-4651
9.054895	2038	-4651
9.097778	2038	-4651
9.136673	2037	-4651
9.167591	2038	-4651
9.215463	2037	-4651
9.268323	2037	-4651
9.297247	2038	-4652
9.394986	2038	-4651
9.431887	2037	-4651
9.457819	2037	-4651
9.457819	2037	-4652
9.503696	2037	-4651
9.551569	2038	-4651
9.583485	2038	-4651
9.631355	2038	-4651
9.663272	2038	-4651
9.727102	2038	-4651
9.743059	2038	-4652
9.790933	2038	-4651
9.838806	2038	-4651
9.872715	2037	-4651
9.920587	2038	-4651
10.026305	2038	-4651
10.050242	2037	-4652
10.055228	2038	-4652
10.095123	2038	-4651
10.127039	2037	-4652
10.158952	2037	-4652
10.206826	2038	-4652
10.23874	2038	-4651
10.291598	2037	-4652
10.319524	2038	-4651
10.367397	2038	-4651
10.415269	2038	-4651
10.456161	2038	-4651
10.533954	2038	-4652
10.569859	2038	-4651
10.65563	2038	-4651
10.65563	2038	-4651
10.65563	2037	-4652
10.703502	2038	-4652
10.735418	2037	-4651
10.800246	2038	-4652
10.815205	2037	-4652
10.863078	2038	-4652
10.895991	2038	-4652
10.956828	2038	-4652
10.990739	2038	-4652
11.02365	2037	-4652
11.071526	2038	-4652
11.103439	2038	-4652
11.158291	2038	-4652
11.183225	2038	-4652
11.296955	2038	-4651
11.296955	2038	-4651
11.314874	2038	-4652
11.359756	2038	-4652
11.391669	2038	-4652
11.439543	2038	-4651
11.471457	2038	-4652
11.519331	2037	-4652
11.551245	2038	-4652
11.599118	2038	-4652
11.64699	2037	-4652
11.678905	2037	-4652
11.746724	2038	-4652
11.788614	2038	-4652
11.8315	2037	-4651
11.839478	2038	-4652
11.88735	2038	-4652
11.945197	2038	-4652
11.969134	2038	-4652
12.015011	2038	-4651
12.046925	2038	-4652
12.094798	2038	-4651
12.154639	2038	-4652
12.186554	2037	-4652
12.244401	2038	-4652
12.255371	2038	-4652
12.303243	2037	-4652
12.335158	2038	-4652
12.383032	2037	-4652
12.422924	2037	-4652
12.462819	2037	-4652
12.510691	2038	-4652
12.543603	2037	-4652
12.629376	2038	-4652
12.658298	2038	-4651
12.720133	2038	-4652
12.720133	2038	-4652
12.751051	2038	-4651
12.799921	2038	-4651
12.831836	2038	-4652
12.878712	2038	-4651
12.910627	2038	-4652
12.959497	2038	-4652
13.043276	2037	-4651
13.074191	2038	-4652
13.105109	2038	-4652
13.119071	2038	-4652
13.166944	2038	-4651
13.198861	2037	-4651
13.246732	2038	-4652
13.279644	2038	-4651
13.328514	2038	-4652
13.389352	2038	-4652
13.431241	2038	-4652
13.458169	2038	-4652
13.49507	2038	-4652
13.534964	2038	-4652
13.56688	2038	-4651
13.615749	2038	-4652
13.662624	2038	-4652
13.698529	2038	-4651
13.743409	2038	-4652
13.775324	2037	-4652
13.825192	2038	-4651
13.896003	2038	-4651
13.964822	2038	-4652
13.964822	2037	-4652
13.982774	2038	-4651
14.031644	2038	-4652
14.064555	2038	-4651
14.112427	2038	-4651
14.143347	2038	-4652
14.191219	2038	-4651
14.23909	2038	-4652
14.291951	2038	-4651
14.379716	2038	-4651
14.401657	2038	-4652
14.402655	2038	-4651
14.431578	2038	-4652
14.47945	2037	-4652
14.527323	2038	-4652
14.559237	2038	-4652
14.608108	2038	-4651
14.642018	2038	-4652
14.686899	2038	-4652
14.718814	2038	-4652
14.767684	2038	-4651
14.847471	2038	-4652
14.877391	2038	-4652
14.925264	2038	-4651
14.959173	2038	-4651
14.975131	2038	-4651
15.007046	2038	-4651
15.054918	2038	-4652
15.10279	2038	-4651
15.134706	2038	-4651
15.18258	2038	-4651
15.216488	2038	-4652
15.263364	2038	-4652
15.353127	2038	-4651
15.353127	2038	-4652
15.4	2037	-4652
15.427926	2038	-4652
15.47081	2038	-4652
15.502727	2038	-4652
15.550599	2038	-4652
15.583511	2038	-4652
15.631385	2038	-4651
15.679256	2038	-4651
15.712168	2038	-4651
15.759043	2038	-4651
15.800933	2038	-4651
15.86177	2038	-4651
15.912636	2038	-4651
15.969484	2038	-4651
15.970482	2038	-4652
15.999405	2038	-4652
16.048273	2038	-4652
16.081186	2038	-4652
16.127064	2038	-4651
16.158978	2037	-4651
16.217822	2038	-4652
16.255726	2038	-4652
16.310577	2037	-4651
16.337504	2038	-4651
16.375403	2038	-4651
16.415297	2038	-4651
16.447212	2038	-4651
16.495085	2038	-4651
16.527	2038	-4651
16.574875	2038	-4651
16.623742	2038	-4651
16.654659	2038	-4651
16.70353	2038	-4651
16.815232	2037	-4651
16.815232	2038	-4651
16.815232	2038	-4651
16.879062	2038	-4651
16.910978	2038	-4651
16.942892	2038	-4651
16.99276	2037	-4651
17.02268	2038	-4652
17.07155	2038	-4651
17.103465	2037	-4651
17.19921	2038	-4651
17.208187	2038	-4651
17.262043	2038	-4651
17.278998	2038	-4651
17.310912	2038	-4651
17.358786	2038	-4651
17.391697	2038	-4651
17.438573	2038	-4651
17.487443	2038	-4651
17.550276	2037	-4652
17.658986	2037	-4651
17.658986	2038	-4651
17.658986	2038	-4651
17.678933	2037	-4651
17.726806	2038	-4652
17.775676	2037	-4652
17.806593	2038	-4652
17.86045	2038	-4652
17.887378	2037	-4651
17.93525	2038	-4651
17.967165	2038	-4651
18.136715	2038	-4651
18.136715	2038	-4651
18.136715	2038	-4651
18.142699	2037	-4651
18.174614	2038	-4651
18.223484	2038	-4651
18.255398	2038	-4651
18.303271	2038	-4651
18.351144	2037	-4652
18.383058	2037	-4652
18.482793	2037	-4651
18.524683	2037	-4651
18.524683	2037	-4652
18.542633	2037	-4651
18.590506	2038	-4651
18.639376	2037	-4651
18.671291	2038	-4651
18.719163	2037	-4651
18.75108	2038	-4652
18.798951	2038	-4651
18.830867	2038	-4651
18.87874	2038	-4651
18.991443	2037	-4651
19.028346	2037	-4651
19.029342	2037	-4651
19.039315	2037	-4652
19.087189	2037	-4651
19.119103	2038	-4652
19.166976	2037	-4651
19.214848	2037	-4652
19.255642	2037	-4651
19.349391	2038	-4651
19.36934	2037	-4651
19.414219	2038	-4651
19.414219	2038	-4651
19.45511	2037	-4651
19.503446	2038	-4651
19.537355	2038	-4651
19.583233	2038	-4651
19.615147	2038	-4651
19.699922	2038	-4651
19.728845	2038	-4651
19.791677	2037	-4651
19.791677	2037	-4651
19.822596	2038	-4651
19.870468	2037	-4651
19.903381	2038	-4651
19.951252	2037	-4651
19.992144	2037	-4651
20.031041	2038	-4651
20.080167	2037	-4651
20.111085	2037	-4651
20.207852	2038	-4651
20.227774	2038	-4651
20.275647	2038	-4651
20.275647	2038	-4651
20.319531	2038	-4651
20.367403	2038	-4651
20.401312	2038	-4651
20.44719	2038	-4651
20.479105	2037	-4651
20.564877	2037	-4651
20.571858	2038	-4651
20.655635	2037	-4651
20.655635	2038	-4651
20.686558	2037	-4651
20.735423	2038	-4651
20.767338	2038	-4651
20.81521	2037	-4651
20.847125	2038	-4651
20.894997	2037	-4651
20.92791	2038	-4651
20.983959	2038	-4651
21.084691	2038	-4651
21.102645	2038	-4651
21.122591	2038	-4651
21.180439	2037	-4651
21.189414	2038	-4651
21.215344	2037	-4651
21.26322	2038	-4651
21.328043	2037	-4651
21.343003	2037	-4651
