Timestamp	I_0	Q_0
0.0	828	-360
0.03391	830	-360
0.080785	831	-363
0.114695	830	-360
0.160574	829	-360
0.193486	829	-363
0.239364	830	-361
0.289231	831	-362
0.320149	832	-362
0.372011	832	-363
0.400934	831	-363
0.4518	829	-363
0.480722	830	-364
0.527597	833	-360
0.576467	830	-362
0.60938	830	-366
0.65825	831	-364
0.690165	830	-363
0.738038	830	-362
0.769953	830	-359
0.815831	831	-362
0.86869	831	-365
0.897614	831	-365
0.944488	831	-361
0.976407	831	-362
1.024277	831	-361
1.056191	829	-362
1.105062	831	-361
1.784256	829	-363
1.784256	826	-364
1.784256	831	-365
1.784256	830	-364
1.784256	830	-363
1.784256	830	-364
1.784256	831	-363
1.784256	831	-361
1.784256	830	-363
1.784256	834	-365
1.784256	834	-364
1.784256	834	-363
1.784256	830	-365
1.784256	831	-361
1.784256	828	-361
1.784256	830	-362
1.808192	831	-361
1.840108	831	-360
1.88798	829	-360
1.919897	830	-361
1.967768	831	-361
2.000194	828	-363
2.062031	829	-364
2.095939	832	-364
2.127854	832	-363
2.195674	831	-361
2.20864	830	-362
2.278454	834	-362
2.289431	832	-361
2.376194	830	-362
2.387173	831	-362
2.42706	831	-363
2.468948	832	-363
2.498869	829	-361
2.578656	829	-363
2.579653	831	-362
2.631516	829	-361
2.680385	828	-364
2.703324	829	-363
2.752194	830	-361
2.78411	831	-360
2.839961	831	-361
2.88185	830	-361
2.939696	831	-361
2.962636	830	-362
2.999537	830	-365
3.054391	832	-364
3.072343	828	-363
3.120216	827	-364
3.169086	829	-363
3.200004	831	-363
3.247876	831	-363
3.30273	830	-364
3.328662	827	-362
3.368556	831	-364
3.415431	832	-362
3.460312	832	-361
3.513171	831	-363
3.549076	832	-363
3.577001	829	-364
3.653798	829	-364
3.653798	831	-362
3.695686	831	-363
3.729596	829	-362
3.777473	828	-362
3.842298	831	-366
3.856259	831	-365
3.904132	831	-363
3.937044	829	-361
4.010849	830	-361
4.016832	831	-362
4.072684	831	-363
4.120557	829	-363
4.171422	832	-364
4.199348	830	-363
