Timestamp	R_0	C_0
0.0	3.88527e+04	7.60051e-11
0.032912	3.88527e+04	7.60051e-11
0.076796	3.88213e+04	7.59270e-11
0.109708	3.88527e+04	7.60051e-11
0.157101	3.88185e+04	7.59994e-11
0.193005	3.88213e+04	7.59270e-11
0.240878	3.88554e+04	7.59328e-11
0.285759	3.88527e+04	7.60051e-11
0.317674	3.88185e+04	7.59994e-11
0.366148	3.88527e+04	7.60051e-11
0.397065	3.88527e+04	7.60051e-11
0.445935	3.88500e+04	7.60775e-11
0.475856	3.88869e+04	7.60108e-11
0.523728	3.88185e+04	7.59994e-11
0.574164	3.88185e+04	7.59994e-11
0.610068	3.88527e+04	7.60051e-11
0.652953	3.88527e+04	7.60051e-11
0.685867	3.88185e+04	7.59994e-11
0.733795	3.88185e+04	7.59994e-11
0.763797	3.88500e+04	7.60775e-11
0.813813	3.88527e+04	7.60051e-11
0.861828	3.88554e+04	7.59328e-11
0.894793	3.88554e+04	7.59328e-11
0.94083	3.88554e+04	7.59328e-11
0.988807	3.88554e+04	7.59328e-11
1.021242	3.88554e+04	7.59328e-11
1.052187	3.88527e+04	7.60051e-11
1.105012	3.88527e+04	7.60051e-11
1.153885	3.88527e+04	7.60051e-11
1.17998	3.88869e+04	7.60108e-11
1.229848	3.88869e+04	7.60108e-11
1.263313	3.88527e+04	7.60051e-11
2.218247	3.88185e+04	7.59994e-11
2.218247	3.88185e+04	7.59994e-11
2.218247	3.88554e+04	7.59328e-11
2.218247	3.88554e+04	7.59328e-11
2.218247	3.88185e+04	7.59994e-11
2.218247	3.88554e+04	7.59328e-11
2.218247	3.88213e+04	7.59270e-11
2.218247	3.88185e+04	7.59994e-11
2.218247	3.88527e+04	7.60051e-11
2.218247	3.88527e+04	7.60051e-11
2.218247	3.88158e+04	7.60718e-11
2.218247	3.88527e+04	7.60051e-11
2.218247	3.88500e+04	7.60775e-11
2.218247	3.88554e+04	7.59328e-11
2.218247	3.88554e+04	7.59328e-11
2.218247	3.88554e+04	7.59328e-11
2.218247	3.88554e+04	7.59328e-11
2.218247	3.88527e+04	7.60051e-11
2.218247	3.88527e+04	7.60051e-11
2.218247	3.88185e+04	7.59994e-11
2.218247	3.88554e+04	7.59328e-11
2.218247	3.88527e+04	7.60051e-11
2.218247	3.87872e+04	7.59211e-11
2.252283	3.88213e+04	7.59270e-11
2.299264	3.88185e+04	7.59994e-11
2.332349	3.88527e+04	7.60051e-11
2.380332	3.88527e+04	7.60051e-11
2.420787	3.88185e+04	7.59994e-11
2.463311	3.88554e+04	7.59328e-11
2.492312	3.87872e+04	7.59211e-11
2.575309	3.88213e+04	7.59270e-11
2.652351	3.88527e+04	7.60051e-11
2.652351	3.88185e+04	7.59994e-11
2.668311	3.88213e+04	7.59270e-11
2.736339	3.88554e+04	7.59328e-11
2.747443	3.88527e+04	7.60051e-11
2.786423	3.88527e+04	7.60051e-11
2.830428	3.88554e+04	7.59328e-11
2.867458	3.88213e+04	7.59270e-11
2.922434	3.88554e+04	7.59328e-11
2.97442	3.88554e+04	7.59328e-11
2.992418	3.88554e+04	7.59328e-11
3.079361	3.88554e+04	7.59328e-11
3.083418	3.88527e+04	7.60051e-11
3.12241	3.88923e+04	7.58663e-11
3.15143	3.88213e+04	7.59270e-11
3.195395	3.88213e+04	7.59270e-11
3.249418	3.88500e+04	7.60775e-11
3.293404	3.88185e+04	7.59994e-11
3.335373	3.88213e+04	7.59270e-11
3.364339	3.88527e+04	7.60051e-11
3.415203	3.88213e+04	7.59270e-11
3.466068	3.88185e+04	7.59994e-11
3.485017	3.88554e+04	7.59328e-11
3.538878	3.88213e+04	7.59270e-11
3.585749	3.88896e+04	7.59385e-11
3.611681	3.88869e+04	7.60108e-11
3.644594	3.88869e+04	7.60108e-11
3.69254	3.88554e+04	7.59328e-11
3.748514	3.88213e+04	7.59270e-11
3.772533	3.88554e+04	7.59328e-11
3.829523	3.88554e+04	7.59328e-11
3.855536	3.88896e+04	7.59385e-11
3.926517	3.88554e+04	7.59328e-11
3.968529	3.88185e+04	7.59994e-11
3.991559	3.88185e+04	7.59994e-11
4.023559	3.88527e+04	7.60051e-11
4.109579	3.88554e+04	7.59328e-11
4.109579	3.88527e+04	7.60051e-11
4.14058	3.88527e+04	7.60051e-11
4.187627	3.88554e+04	7.59328e-11
4.22662	3.88896e+04	7.59385e-11
4.272627	3.88527e+04	7.60051e-11
4.304626	3.88527e+04	7.60051e-11
4.348621	3.88527e+04	7.60051e-11
4.395625	3.88185e+04	7.59994e-11
4.43265	3.88869e+04	7.60108e-11
4.49162	3.88527e+04	7.60051e-11
4.513656	3.88527e+04	7.60051e-11
4.605626	3.88213e+04	7.59270e-11
4.650599	3.88213e+04	7.59270e-11
4.658622	3.88213e+04	7.59270e-11
4.698606	3.88213e+04	7.59270e-11
4.719593	3.88869e+04	7.60108e-11
4.782611	3.88527e+04	7.60051e-11
4.796608	3.88213e+04	7.59270e-11
4.843624	3.88527e+04	7.60051e-11
4.87562	3.88869e+04	7.60108e-11
4.923616	3.88527e+04	7.60051e-11
4.971615	3.88527e+04	7.60051e-11
5.003599	3.88213e+04	7.59270e-11
5.051606	3.88158e+04	7.60718e-11
5.083585	3.88185e+04	7.59994e-11
5.131605	3.88554e+04	7.59328e-11
5.16554	3.88213e+04	7.59270e-11
5.211545	3.88185e+04	7.59994e-11
5.261523	3.88185e+04	7.59994e-11
5.300501	3.88185e+04	7.59994e-11
5.346497	3.88527e+04	7.60051e-11
5.381005	3.88213e+04	7.59270e-11
5.420492	3.88500e+04	7.60775e-11
5.457475	3.88527e+04	7.60051e-11
5.533465	3.88554e+04	7.59328e-11
5.553452	3.88554e+04	7.59328e-11
5.584471	3.88554e+04	7.59328e-11
5.673397	3.88923e+04	7.58663e-11
5.673397	3.88554e+04	7.59328e-11
5.70838	3.88554e+04	7.59328e-11
5.740372	3.88213e+04	7.59270e-11
5.787469	3.88527e+04	7.60051e-11
5.852339	3.88554e+04	7.59328e-11
5.868297	3.88527e+04	7.60051e-11
5.916284	3.88527e+04	7.60051e-11
5.948266	3.88527e+04	7.60051e-11
5.997285	3.88185e+04	7.59994e-11
6.036296	3.88554e+04	7.59328e-11
6.076306	3.88213e+04	7.59270e-11
6.130276	3.88185e+04	7.59994e-11
6.157303	3.88527e+04	7.60051e-11
6.22628	3.88554e+04	7.59328e-11
6.257266	3.88896e+04	7.59385e-11
6.294279	3.88527e+04	7.60051e-11
6.326234	3.88185e+04	7.59994e-11
6.37019	3.88554e+04	7.59328e-11
6.412206	3.88527e+04	7.60051e-11
6.444186	3.88554e+04	7.59328e-11
6.492267	3.88185e+04	7.59994e-11
6.524182	3.88527e+04	7.60051e-11
6.572115	3.88554e+04	7.59328e-11
6.605108	3.88527e+04	7.60051e-11
6.652094	3.88896e+04	7.59385e-11
6.712132	3.88869e+04	7.60108e-11
6.733046	3.88500e+04	7.60775e-11
6.780011	3.88527e+04	7.60051e-11
6.81201	3.88869e+04	7.60108e-11
6.859983	3.88185e+04	7.59994e-11
6.891967	3.88527e+04	7.60051e-11
6.942944	3.88554e+04	7.59328e-11
6.99044	3.88869e+04	7.60108e-11
7.023894	3.88527e+04	7.60051e-11
7.0709	3.88554e+04	7.59328e-11
7.127243	3.88213e+04	7.59270e-11
7.154171	3.88554e+04	7.59328e-11
7.180102	3.88896e+04	7.59385e-11
7.272856	3.88527e+04	7.60051e-11
7.302343	3.88527e+04	7.60051e-11
7.344232	3.88185e+04	7.59994e-11
7.356201	3.88554e+04	7.59328e-11
7.388115	3.88554e+04	7.59328e-11
7.435988	3.88554e+04	7.59328e-11
7.467902	3.88554e+04	7.59328e-11
7.517308	3.88213e+04	7.59270e-11
7.548228	3.88869e+04	7.60108e-11
7.598094	3.88500e+04	7.60775e-11
7.643972	3.88185e+04	7.59994e-11
7.677883	3.88554e+04	7.59328e-11
7.723274	3.88554e+04	7.59328e-11
7.758181	3.88527e+04	7.60051e-11
7.804059	3.88185e+04	7.59994e-11
7.835974	3.88185e+04	7.59994e-11
7.898807	3.88185e+04	7.59994e-11
7.931719	3.88554e+04	7.59328e-11
7.975603	3.88185e+04	7.59994e-11
8.021481	3.88213e+04	7.59270e-11
8.080325	3.88527e+04	7.60051e-11
8.155126	3.89185e+04	7.60887e-11
8.155126	3.88527e+04	7.60051e-11
8.174075	3.88185e+04	7.59994e-11
8.254076	3.88185e+04	7.59994e-11
8.28505	3.88185e+04	7.59994e-11
8.32506	3.88185e+04	7.59994e-11
8.333069	3.88527e+04	7.60051e-11
8.380051	3.88554e+04	7.59328e-11
8.412103	3.88554e+04	7.59328e-11
8.46006	3.88896e+04	7.59385e-11
8.510036	3.88527e+04	7.60051e-11
8.54109	3.88185e+04	7.59994e-11
8.588072	3.88213e+04	7.59270e-11
8.620031	3.88527e+04	7.60051e-11
8.670558	3.88527e+04	7.60051e-11
8.700021	3.88554e+04	7.59328e-11
8.748035	3.88527e+04	7.60051e-11
8.796089	3.88185e+04	7.59994e-11
8.828033	3.88185e+04	7.59994e-11
8.880566	3.88185e+04	7.59994e-11
8.918034	3.88554e+04	7.59328e-11
8.965033	3.88185e+04	7.59994e-11
9.047028	3.88185e+04	7.59994e-11
9.047028	3.88554e+04	7.59328e-11
9.16601	3.88554e+04	7.59328e-11
9.16601	3.88500e+04	7.60775e-11
9.167006	3.88213e+04	7.59270e-11
9.202012	3.88240e+04	7.58547e-11
9.244986	3.88527e+04	7.60051e-11
9.321988	3.88527e+04	7.60051e-11
9.323984	3.88554e+04	7.59328e-11
9.371972	3.88527e+04	7.60051e-11
9.403969	3.88554e+04	7.59328e-11
9.451956	3.88554e+04	7.59328e-11
9.483939	3.88554e+04	7.59328e-11
9.531926	3.88185e+04	7.59994e-11
9.565924	3.88896e+04	7.59385e-11
9.611917	3.88213e+04	7.59270e-11
9.662296	3.88213e+04	7.59270e-11
9.692217	3.88527e+04	7.60051e-11
9.74009	3.88554e+04	7.59328e-11
9.772007	3.88213e+04	7.59270e-11
9.819391	3.88213e+04	7.59270e-11
9.854298	3.88185e+04	7.59994e-11
9.901174	3.88213e+04	7.59270e-11
9.952076	3.88527e+04	7.60051e-11
9.982957	3.88527e+04	7.60051e-11
10.042344	3.88527e+04	7.60051e-11
10.110164	3.88896e+04	7.59385e-11
10.110164	3.88527e+04	7.60051e-11
10.181972	3.88554e+04	7.59328e-11
10.207415	3.88185e+04	7.59994e-11
10.256285	3.88554e+04	7.59328e-11
10.314133	3.88554e+04	7.59328e-11
10.347044	3.88213e+04	7.59270e-11
10.37497	3.88527e+04	7.60051e-11
10.395916	3.88554e+04	7.59328e-11
10.427829	3.88554e+04	7.59328e-11
10.475703	3.88213e+04	7.59270e-11
10.523575	3.88527e+04	7.60051e-11
10.556487	3.88554e+04	7.59328e-11
10.604361	3.88213e+04	7.59270e-11
10.635277	3.88185e+04	7.59994e-11
10.683316	3.88185e+04	7.59994e-11
10.721344	3.88500e+04	7.60775e-11
10.763326	3.88185e+04	7.59994e-11
10.81434	3.88527e+04	7.60051e-11
10.845507	3.88527e+04	7.60051e-11
10.89338	3.88527e+04	7.60051e-11
10.923369	3.88213e+04	7.59270e-11
10.972361	3.88554e+04	7.59328e-11
11.010356	3.88185e+04	7.59994e-11
11.072376	3.88185e+04	7.59994e-11
11.133376	3.88527e+04	7.60051e-11
11.133376	3.88213e+04	7.59270e-11
11.25741	3.88213e+04	7.59270e-11
11.25741	3.88185e+04	7.59994e-11
11.302424	3.88213e+04	7.59270e-11
11.303422	3.88213e+04	7.59270e-11
11.378402	3.88185e+04	7.59994e-11
11.415431	3.88213e+04	7.59270e-11
11.419419	3.88554e+04	7.59328e-11
11.467424	3.88554e+04	7.59328e-11
11.50153	3.88896e+04	7.59385e-11
11.548429	3.88213e+04	7.59270e-11
11.579426	3.88213e+04	7.59270e-11
11.627442	3.88896e+04	7.59385e-11
11.675314	3.88896e+04	7.59385e-11
11.708227	3.88554e+04	7.59328e-11
11.776049	3.88185e+04	7.59994e-11
11.788015	3.88554e+04	7.59328e-11
11.835887	3.88527e+04	7.60051e-11
11.893733	3.88185e+04	7.59994e-11
11.916711	3.88213e+04	7.59270e-11
11.947671	3.88554e+04	7.59328e-11
12.006666	3.88896e+04	7.59385e-11
12.044656	3.88554e+04	7.59328e-11
12.089673	3.88185e+04	7.59994e-11
12.126656	3.88185e+04	7.59994e-11
12.199682	3.88185e+04	7.59994e-11
12.242695	3.88185e+04	7.59994e-11
12.242695	3.87872e+04	7.59211e-11
12.32271	3.87872e+04	7.59211e-11
12.376698	3.88527e+04	7.60051e-11
12.40768	3.88554e+04	7.59328e-11
12.474682	3.88240e+04	7.58547e-11
12.474682	3.88527e+04	7.60051e-11
12.491736	3.88527e+04	7.60051e-11
12.529658	3.88185e+04	7.59994e-11
12.571679	3.88213e+04	7.59270e-11
12.620672	3.88527e+04	7.60051e-11
12.651733	3.88527e+04	7.60051e-11
12.699687	3.88527e+04	7.60051e-11
12.73268	3.88554e+04	7.59328e-11
12.787667	3.88185e+04	7.59994e-11
12.877632	3.88213e+04	7.59270e-11
12.877632	3.88527e+04	7.60051e-11
12.90963	3.88554e+04	7.59328e-11
12.941167	3.88527e+04	7.60051e-11
12.987671	3.88554e+04	7.59328e-11
13.019669	3.88527e+04	7.60051e-11
13.068696	3.88527e+04	7.60051e-11
13.108713	3.88554e+04	7.59328e-11
13.148693	3.88527e+04	7.60051e-11
13.240712	3.88527e+04	7.60051e-11
13.240712	3.88527e+04	7.60051e-11
13.338674	3.88185e+04	7.59994e-11
13.376697	3.88185e+04	7.59994e-11
13.376697	3.88527e+04	7.60051e-11
13.409692	3.88213e+04	7.59270e-11
13.438658	3.88554e+04	7.59328e-11
13.495672	3.88527e+04	7.60051e-11
13.568655	3.88554e+04	7.59328e-11
13.587654	3.88554e+04	7.59328e-11
13.596631	3.88554e+04	7.59328e-11
13.643641	3.88213e+04	7.59270e-11
13.676631	3.88554e+04	7.59328e-11
13.723631	3.88554e+04	7.59328e-11
13.771645	3.88527e+04	7.60051e-11
13.804584	3.88527e+04	7.60051e-11
13.851607	3.88185e+04	7.59994e-11
13.883597	3.88527e+04	7.60051e-11
13.934533	3.88527e+04	7.60051e-11
13.963539	3.88527e+04	7.60051e-11
14.013512	3.88554e+04	7.59328e-11
14.070462	3.88213e+04	7.59270e-11
14.092395	3.88527e+04	7.60051e-11
14.157418	3.88554e+04	7.59328e-11
14.189376	3.88554e+04	7.59328e-11
14.300394	3.88213e+04	7.59270e-11
14.318394	3.88554e+04	7.59328e-11
14.318394	3.88554e+04	7.59328e-11
14.356385	3.88554e+04	7.59328e-11
14.405395	3.88185e+04	7.59994e-11
14.444395	3.88527e+04	7.60051e-11
14.472372	3.88527e+04	7.60051e-11
14.5074	3.88527e+04	7.60051e-11
14.540366	3.88185e+04	7.59994e-11
14.58935	3.88554e+04	7.59328e-11
14.635311	3.88869e+04	7.60108e-11
14.667295	3.88869e+04	7.60108e-11
14.716275	3.88527e+04	7.60051e-11
14.751336	3.88213e+04	7.59270e-11
14.795278	3.88213e+04	7.59270e-11
