Timestamp	R_0	C_0
0.0	1.83037e+04	3.81320e-11
0.049868	1.82887e+04	3.82092e-11
0.080786	1.83049e+04	3.82805e-11
0.129656	1.83198e+04	3.82033e-11
0.160574	1.83175e+04	3.79069e-11
0.20745	1.83049e+04	3.82805e-11
0.240363	1.82576e+04	3.82149e-11
0.290231	1.82875e+04	3.80605e-11
0.336108	1.82737e+04	3.82866e-11
0.370019	1.83198e+04	3.82033e-11
0.416895	1.83037e+04	3.81320e-11
0.448811	1.83175e+04	3.79069e-11
0.495686	1.83025e+04	3.79836e-11
0.529596	1.83348e+04	3.81262e-11
0.576472	1.83186e+04	3.80550e-11
0.60739	1.82864e+04	3.79120e-11
0.657258	1.82554e+04	3.79169e-11
0.705131	1.82695e+04	3.76916e-11
0.737046	1.83175e+04	3.79069e-11
0.783922	1.83049e+04	3.82805e-11
0.817831	1.82737e+04	3.82866e-11
0.865706	1.82253e+04	3.80710e-11
0.89762	1.82725e+04	3.81376e-11
0.946491	1.82864e+04	3.79120e-11
0.991371	1.82704e+04	3.78401e-11
1.024284	1.83037e+04	3.81320e-11
1.072158	1.83198e+04	3.82033e-11
1.683536	1.83186e+04	3.80550e-11
1.683536	1.82554e+04	3.79169e-11
1.683536	1.82544e+04	3.77681e-11
1.683536	1.82704e+04	3.78401e-11
1.683536	1.83336e+04	3.79783e-11
1.683536	1.82887e+04	3.82092e-11
1.683536	1.82875e+04	3.80605e-11
1.683536	1.83037e+04	3.81320e-11
1.683536	1.83198e+04	3.82033e-11
1.683536	1.83348e+04	3.81262e-11
1.683536	1.83348e+04	3.81262e-11
1.683536	1.83037e+04	3.81320e-11
1.683536	1.82576e+04	3.82149e-11
1.683536	1.82576e+04	3.82149e-11
1.683536	1.82264e+04	3.82205e-11
1.728417	1.82725e+04	3.81376e-11
1.760334	1.83361e+04	3.82743e-11
1.808206	1.83186e+04	3.80550e-11
1.858073	1.82875e+04	3.80605e-11
1.907941	1.82725e+04	3.81376e-11
1.966785	1.82588e+04	3.83642e-11
1.967783	1.83186e+04	3.80550e-11
2.015655	1.82864e+04	3.79120e-11
2.086468	1.82544e+04	3.77681e-11
2.096444	1.82714e+04	3.79888e-11
2.169249	1.82714e+04	3.79888e-11
2.17623	1.82564e+04	3.80658e-11
2.2251	1.82875e+04	3.80605e-11
2.257016	1.82554e+04	3.79169e-11
2.318852	1.82404e+04	3.79938e-11
2.345779	1.82576e+04	3.82149e-11
2.394651	1.82725e+04	3.81376e-11
2.480424	1.82564e+04	3.80658e-11
2.481421	1.82714e+04	3.79888e-11
2.514333	1.82887e+04	3.82092e-11
2.555224	1.83336e+04	3.79783e-11
2.625041	1.82864e+04	3.79120e-11
2.626036	1.83336e+04	3.79783e-11
2.674907	1.82875e+04	3.80605e-11
2.721783	1.83037e+04	3.81320e-11
2.755693	1.83049e+04	3.82805e-11
2.799577	1.82875e+04	3.80605e-11
2.869391	1.82714e+04	3.79888e-11
2.908288	1.82725e+04	3.81376e-11
2.93422	1.82289e+04	3.85201e-11
3.001042	1.82404e+04	3.79938e-11
3.030963	1.82875e+04	3.80605e-11
3.049913	1.82564e+04	3.80658e-11
3.088809	1.82576e+04	3.82149e-11
3.120725	1.82737e+04	3.82866e-11
3.195527	1.82725e+04	3.81376e-11
3.200513	1.82725e+04	3.81376e-11
3.248386	1.82426e+04	3.82925e-11
3.295262	1.82414e+04	3.81431e-11
3.343134	1.82576e+04	3.82149e-11
3.377045	1.82588e+04	3.83642e-11
3.414945	1.82725e+04	3.81376e-11
3.464813	1.82900e+04	3.83580e-11
3.537619	1.83037e+04	3.81320e-11
3.537619	1.83198e+04	3.82033e-11
3.59347	1.83037e+04	3.81320e-11
3.665281	1.82875e+04	3.80605e-11
3.666279	1.82725e+04	3.81376e-11
3.705177	1.82714e+04	3.79888e-11
3.744072	1.82704e+04	3.78401e-11
3.775987	1.82887e+04	3.82092e-11
3.82386	1.82887e+04	3.82092e-11
