Timestamp	I_0	Q_0
0.0	1459	-2229
0.047871	1458	-2229
0.079786	1459	-2229
0.127658	1458	-2229
0.160572	1459	-2229
0.208442	1458	-2229
0.240357	1458	-2229
0.288229	1458	-2230
0.336101	1459	-2229
0.368016	1458	-2229
0.415888	1458	-2230
0.447804	1459	-2229
0.495675	1459	-2229
0.52759	1458	-2229
0.576459	1459	-2230
0.624332	1458	-2229
0.656246	1459	-2229
0.70412	1458	-2229
0.736033	1458	-2229
0.783905	1458	-2229
0.815822	1458	-2229
0.863695	1458	-2229
0.911577	1459	-2229
0.943492	1459	-2229
0.992362	1458	-2229
1.024277	1459	-2229
1.17687	1458	-2230
1.17687	1458	-2229
1.17687	1458	-2230
1.199807	1458	-2229
1.231723	1459	-2229
1.290567	1459	-2229
1.312509	1458	-2229
1.360381	1458	-2229
1.392306	1458	-2229
1.442162	1458	-2229
1.493029	1458	-2229
1.531921	1458	-2229
1.578796	1459	-2229
1.599741	1458	-2229
1.647612	1458	-2229
1.679527	1458	-2230
1.764301	1458	-2229
1.776268	1458	-2229
1.808184	1459	-2229
1.857054	1458	-2229
1.894952	1458	-2229
1.958782	1459	-2229
1.986707	1459	-2229
2.01563	1459	-2229
2.064499	1458	-2229
2.096415	1459	-2229
2.167225	1459	-2229
2.188175	1459	-2229
2.225584	1458	-2229
2.256497	1459	-2229
2.320326	1458	-2229
2.404102	1459	-2229
2.404102	1458	-2229
2.432027	1459	-2229
2.463944	1458	-2229
2.511815	1459	-2229
2.546723	1458	-2229
2.638476	1459	-2229
2.644461	1459	-2229
2.672734	1459	-2229
2.720595	1458	-2229
2.757498	1458	-2229
2.833294	1459	-2229
2.847258	1459	-2229
2.880168	1458	-2229
2.928041	1458	-2229
2.959955	1458	-2229
3.009821	1458	-2229
3.061684	1458	-2229
3.112549	1458	-2229
3.133491	1458	-2229
3.167401	1459	-2229
3.217267	1458	-2229
3.248188	1458	-2229
3.30703	1458	-2229
3.369861	1458	-2229
3.416735	1459	-2229
3.416735	1458	-2229
3.455631	1458	-2229
3.503503	1458	-2229
3.536416	1458	-2229
3.584288	1458	-2229
3.616203	1458	-2229
3.696021	1458	-2229
3.712975	1458	-2229
3.764837	1459	-2229
3.791765	1459	-2229
3.82368	1458	-2229
3.872551	1458	-2229
3.904465	1458	-2229
3.952337	1458	-2229
4.00719	1459	-2229
4.044091	1459	-2229
4.097947	1458	-2229
4.112908	1458	-2229
4.159784	1458	-2229
4.191698	1459	-2229
4.23957	1458	-2229
4.271484	1458	-2229
4.333319	1459	-2229
4.423088	1458	-2229
4.423088	1459	-2229
4.466963	1458	-2229
4.479926	1459	-2229
4.5278	1458	-2229
4.559715	1458	-2229
4.608583	1458	-2229
4.640498	1459	-2229
4.688372	1458	-2229
4.74123	1458	-2229
4.768157	1458	-2229
4.831999	1458	-2229
4.868889	1459	-2229
4.938706	1458	-2229
4.938706	1458	-2229
4.98857	1458	-2229
5.046417	1459	-2229
5.067361	1459	-2229
5.109251	1458	-2229
5.136178	1458	-2229
5.184055	1458	-2229
5.227281	1458	-2229
5.26418	1458	-2229
5.312054	1458	-2229
5.343971	1459	-2229
5.396826	1458	-2229
5.426753	1458	-2229
5.478615	1458	-2229
5.555406	1458	-2229
5.581333	1458	-2229
5.607268	1458	-2229
5.658129	1458	-2229
5.688048	1458	-2229
5.712982	1458	-2229
5.759859	1458	-2229
5.792768	1459	-2229
5.841638	1458	-2229
5.887515	1458	-2229
5.920428	1459	-2229
5.9683	1458	-2229
6.000214	1458	-2229
6.049083	1459	-2229
6.080998	1458	-2229
6.144671	1459	-2229
6.193544	1458	-2229
6.223461	1458	-2229
6.270335	1458	-2229
6.350123	1458	-2229
6.376052	1459	-2229
6.376052	1458	-2229
6.415945	1458	-2229
6.463818	1458	-2229
6.495734	1458	-2229
6.543605	1458	-2229
6.575519	1459	-2229
6.62439	1459	-2229
6.656309	1458	-2230
6.704176	1458	-2229
6.752048	1458	-2229
6.783963	1458	-2229
6.845798	1458	-2229
6.863752	1459	-2229
6.917607	1458	-2229
6.966476	1458	-2229
7.023325	1458	-2229
7.065212	1458	-2229
7.112086	1459	-2229
7.120066	1458	-2229
7.15298	1459	-2229
7.199855	1458	-2229
7.232765	1458	-2229
7.27964	1459	-2229
7.328509	1459	-2229
7.360424	1459	-2229
7.409295	1458	-2229
7.440211	1458	-2229
7.538947	1459	-2229
7.562883	1459	-2229
7.59779	1459	-2229
7.671594	1459	-2229
7.672592	1459	-2229
7.69553	1458	-2229
7.727443	1458	-2229
7.776313	1458	-2229
7.808229	1458	-2229
7.856099	1458	-2229
7.903972	1459	-2229
7.936884	1458	-2229
7.983758	1459	-2229
